iteration_number, input_size, hull_size, time[sec]
4, 60000, 1000, 12.870072455473746
4, 70000, 1000, 16.11856342797546
4, 80000, 1000, 18.210492156502823
4, 90000, 1000, 19.195751215283508
4, 100000, 1000, 21.510088012415963
4, 110000, 1000, 24.796324672399805
4, 120000, 1000, 26.58589077237866
4, 130000, 1000, 29.40251823899689
4, 140000, 1000, 31.99114050191656
4, 150000, 1000, 35.09774740235571
4, 160000, 1000, 36.575295887543234
4, 170000, 1000, 37.96745760097383
4, 180000, 1000, 41.53457378614257
4, 190000, 1000, 42.41013917145301
4, 200000, 1000, 46.48623731639509
5, 10000, 1000, 2.1513290067632624
5, 20000, 1000, 4.373503228926893
5, 30000, 1000, 6.641746020610299
5, 40000, 1000, 8.989648807772937
5, 50000, 1000, 11.430568735058841
5, 60000, 1000, 14.549035342402021
5, 70000, 1000, 15.402600700636867
5, 80000, 1000, 17.59837899287686
5, 90000, 1000, 21.009773140232937
5, 100000, 1000, 43.09637427246071
5, 110000, 1000, 39.28330127175559
5, 120000, 1000, 40.4929688118591
5, 130000, 1000, 58.22812335769049
5, 140000, 1000, 64.64274048337302
5, 150000, 1000, 35.50011343603728
5, 160000, 1000, 37.04648826234461
5, 170000, 1000, 40.02563285206088
5, 180000, 1000, 41.78785779018381
5, 190000, 1000, 44.77604157051246
5, 200000, 1000, 47.13453678096812
6, 10000, 1000, 2.1127386002935964
6, 20000, 1000, 4.147633822729404
6, 30000, 1000, 6.592291600769386
6, 40000, 1000, 8.934687919615499
6, 50000, 1000, 11.147918130771359
6, 60000, 1000, 14.239170755902705
6, 70000, 1000, 15.885716372163188
6, 80000, 1000, 17.31051648473749
6, 90000, 1000, 19.434300021702256
6, 100000, 1000, 23.402848906070176
6, 110000, 1000, 25.250373641485567
6, 120000, 1000, 28.108248748613732
6, 130000, 1000, 30.047113904140133
6, 140000, 1000, 31.037225481713904
6, 150000, 1000, 33.34871509585446
6, 160000, 1000, 36.080699586502305
