iteration_number, input_size, hull_size, time[sec]
1, 20000, 1000, 0.005171698672859905
1, 40000, 1000, 0.007311188485565317
1, 60000, 1000, 0.01004185851305663
1, 80000, 1000, 0.01252760516218071
1, 100000, 1000, 0.015817455365073264
1, 120000, 1000, 0.01845376630207135
1, 140000, 1000, 0.02085664105432744
1, 160000, 1000, 0.023765362583010374
1, 180000, 1000, 0.02650628903338137
1, 200000, 1000, 0.02938752334874667
1, 220000, 1000, 0.032957579024712635
1, 240000, 1000, 0.0346445554599657
1, 260000, 1000, 0.03928456117074197
1, 280000, 1000, 0.04169646157513218
1, 300000, 1000, 0.04334282257578159
1, 320000, 1000, 0.047600879098517845
1, 340000, 1000, 0.0530954499636308
1, 360000, 1000, 0.056343864218089235
1, 380000, 1000, 0.06515125967334523
1, 400000, 1000, 0.05841730266744949
2, 20000, 1000, 0.00571693011314478
2, 40000, 1000, 0.007564317002236365
2, 60000, 1000, 0.011917963386211206
2, 80000, 1000, 0.012535400043569567
2, 100000, 1000, 0.01568576289529755
2, 120000, 1000, 0.01806935557253997
2, 140000, 1000, 0.02091366676553852
2, 160000, 1000, 0.024524337876108415
2, 180000, 1000, 0.027121264149248425
2, 200000, 1000, 0.033107733055671495
2, 220000, 1000, 0.03359552852782999
2, 240000, 1000, 0.04983842031395325
2, 260000, 1000, 0.03896784283221688
2, 280000, 1000, 0.053225501405745224
2, 300000, 1000, 0.04889647043668166
2, 320000, 1000, 0.0524759620216968
2, 340000, 1000, 0.05276683417456551
2, 360000, 1000, 0.05631145392178949
2, 380000, 1000, 0.05480334950155852
2, 400000, 1000, 0.057448686090690426
3, 20000, 1000, 0.004046363954499199
3, 40000, 1000, 0.008058676585037894
3, 60000, 1000, 0.010204730508386106
3, 80000, 1000, 0.013587298774111467
3, 100000, 1000, 0.01646032795117236
3, 120000, 1000, 0.018546074107988808
3, 140000, 1000, 0.02059694842701365
3, 160000, 1000, 0.0242707991025215
3, 180000, 1000, 0.028059931971198715
3, 200000, 1000, 0.031715731342438325
3, 220000, 1000, 0.032163321636908826
3, 240000, 1000, 0.03508599190070871
3, 260000, 1000, 0.03988148498234079
3, 280000, 1000, 0.04355984848391614
3, 300000, 1000, 0.04378015644737232
3, 320000, 1000, 0.04661749327281228
3, 340000, 1000, 0.04909011170065014
3, 360000, 1000, 0.05278201368042712
3, 380000, 1000, 0.05479555462016972
3, 400000, 1000, 0.05862489266653448
4, 20000, 1000, 0.004630159544811718
4, 40000, 1000, 0.009573345115912346
4, 60000, 1000, 0.009520421973853388
4, 80000, 1000, 0.012991605733258638
4, 100000, 1000, 0.01691899518235296
4, 120000, 1000, 0.018054996580509908
4, 140000, 1000, 0.022052539962102102
4, 160000, 1000, 0.025079415482357703
4, 180000, 1000, 0.02651203263019397
4, 200000, 1000, 0.029359625878514706
4, 220000, 1000, 0.03248660408607762
4, 240000, 1000, 0.03564968490217524
4, 260000, 1000, 0.03933830482663048
4, 280000, 1000, 0.04156189730695026
4, 300000, 1000, 0.04424046470621157
4, 320000, 1000, 0.05347945043624769
4, 340000, 1000, 0.05031760039089406
4, 360000, 1000, 0.05168662771687593
4, 380000, 1000, 0.05588478672999386
4, 400000, 1000, 0.05753360927213613
5, 20000, 1000, 0.004322466858420526
5, 40000, 1000, 0.009634063139358773
5, 60000, 1000, 0.01176452729993116
5, 80000, 1000, 0.013309144585614163
5, 100000, 1000, 0.016346686785666975
5, 120000, 1000, 0.018673664008613144
5, 140000, 1000, 0.02145274435209643
5, 160000, 1000, 0.024853363922089144
5, 180000, 1000, 0.027552854424026663
5, 200000, 1000, 0.03277583521128591
5, 220000, 1000, 0.03294486106034178
5, 240000, 1000, 0.0356443515622793
5, 260000, 1000, 0.0379508159394657
5, 280000, 1000, 0.04166158973734113
5, 300000, 1000, 0.044666311384178314
5, 320000, 1000, 0.04611000546872468
5, 340000, 1000, 0.04865359834289151
5, 360000, 1000, 0.05248950049989709
5, 380000, 1000, 0.05587822261935038
5, 400000, 1000, 0.05811822537627798
6, 20000, 1000, 0.0054826734145727585
6, 40000, 1000, 0.010603910486864265
6, 60000, 1000, 0.015592224318634607
