iteration_number, input_size, hull_size, time[sec]
10, 40000, 6000, 9.061332998563785
10, 40000, 7000, 9.455829894354792
10, 40000, 8000, 10.029373164356684
10, 40000, 9000, 9.36967922422059
10, 40000, 10000, 9.702363941371004
10, 40000, 11000, 9.68491776605265
10, 40000, 12000, 11.22339391597211
10, 40000, 13000, 9.787733892595497
10, 40000, 14000, 10.513801658012426
10, 40000, 15000, 10.268219407039169
10, 40000, 16000, 10.057699763322717
10, 40000, 17000, 10.247910458966771
10, 40000, 18000, 10.138743965633694
10, 40000, 19000, 10.017720226937627
10, 40000, 20000, 10.309121611226601
10, 40000, 20000, 26.212066722543568

