num_vertices num_edges iteration correct time
20 80 1 0 1086197532
20 80 2 0 688745792
20 80 3 0 571324543
20 80 4 1 720027356
20 80 5 0 678590330
20 80 6 1 674368391
20 80 7 0 637150431
20 80 8 0 676398746
20 80 9 0 628262659
20 80 10 1 733137888
20 80 11 0 955806468
20 80 12 0 645281694
20 80 13 0 695110494
20 80 14 1 637889712
20 80 15 0 604336974
20 80 16 0 669215173
20 80 17 1 776496961
20 80 18 0 671264399
20 80 19 1 641841292
20 80 20 0 567909986
20 80 21 0 664277339
20 80 22 1 702555400
20 80 23 0 603419643
20 80 24 0 763875043
20 80 25 0 636550228
20 80 26 0 614468231
20 80 27 0 721733198
20 80 28 1 673064190
20 80 29 0 711863273
20 80 30 0 794176917
20 80 31 0 810896056
20 80 32 0 702205451
20 80 33 1 759120593
20 80 34 0 645847026
20 80 35 0 691080145
20 80 36 0 700203405
20 80 37 0 593082848
20 80 38 0 732490094
20 80 39 1 682396679
20 80 40 1 587680605
20 80 41 1 744107707
20 80 42 0 694456137
20 80 43 1 792844407
20 80 44 0 707119900
20 80 45 1 715062445
20 80 46 0 594769819
20 80 47 0 624306566
20 80 48 1 749131284
20 80 49 0 695676237
20 80 50 1 723297501
30 120 1 0 1372486057
30 120 2 0 1071765157
30 120 3 0 1171570040
30 120 4 0 1190334711
30 120 5 0 1171780090
30 120 6 1 1195593775
30 120 7 0 1296475988
30 120 8 0 1419707685
30 120 9 0 1196160338
30 120 10 0 1248140108
30 120 11 0 1201554376
30 120 12 0 1395664257
30 120 13 0 1156887409
30 120 14 0 1193158089
30 120 15 0 1484928858
30 120 16 0 1251135382
30 120 17 1 1305144275
30 120 18 0 1147064253
30 120 19 0 1224720678
30 120 20 0 1221581404
30 120 21 0 1229692973
30 120 22 0 1182363449
30 120 23 0 1349544166
30 120 24 1 1157691100
30 120 25 0 1456846056
30 120 26 0 1073838177
30 120 27 0 1125598871
30 120 28 0 1132050137
30 120 29 0 1119653449
30 120 30 0 1190895530
30 120 31 0 1226924980
30 120 32 0 1076177043
30 120 33 0 1199751304
30 120 34 0 1151081474
30 120 35 0 1235393883
30 120 36 0 1218532386
30 120 37 0 1092072799
30 120 38 1 1196248543
30 120 39 0 1103019644
30 120 40 0 1142086215
30 120 41 1 1071708541
30 120 42 0 1061430003
30 120 43 0 1101544776
30 120 44 0 1214687472
30 120 45 0 1204279292
30 120 46 1 1244087605
30 120 47 0 1212313323
30 120 48 0 1034802376
30 120 49 0 1183448985
30 120 50 0 1136425921
40 160 1 0 1702207913
40 160 2 0 1678994431
40 160 3 0 1454505958
40 160 4 0 1531028026
40 160 5 0 2040164824
40 160 6 0 1749269130
40 160 7 1 1969579562
40 160 8 0 1446529773
40 160 9 0 1526349884
40 160 10 0 1487172544
40 160 11 0 1622296725
40 160 12 0 1610197472
40 160 13 0 1749459489
40 160 14 0 1458873538
40 160 15 0 1456880927
40 160 16 0 1646394306
40 160 17 0 1562963127
40 160 18 0 1453003193
40 160 19 0 1649190607
40 160 20 0 1520871334
40 160 21 0 1695414904
40 160 22 0 2069863213
40 160 23 0 1520863949
40 160 24 0 1521152769
40 160 25 0 1499352617
40 160 26 0 1670824606
40 160 27 0 1577979295
40 160 28 0 2006184601
40 160 29 0 1944078086
40 160 30 0 1738570079
40 160 31 1 1603086516
40 160 32 0 1782773458
40 160 33 0 1562147540
40 160 34 0 1554429404
40 160 35 0 1560458518
40 160 36 0 1527913367
40 160 37 0 1966823056
40 160 38 0 1772770611
40 160 39 0 1816872246
40 160 40 0 1619505757
40 160 41 0 1971967659
40 160 42 0 2065662198
40 160 43 0 1810207237
40 160 44 0 1964502242
40 160 45 0 2080764520
40 160 46 0 1753138659
40 160 47 0 1686900464
40 160 48 0 1528090187
40 160 49 0 1515053091
40 160 50 0 1815153686
50 200 1 0 2143618518
50 200 2 0 1847332479
50 200 3 0 1882358444
50 200 4 0 1921081630
50 200 5 0 2271434409
50 200 6 0 2101013905
50 200 7 0 2150512040
50 200 8 1 2230798201
50 200 9 0 2153867929
50 200 10 0 2421113220
50 200 11 0 1834841843
