num_vertices num_edges iteration correct time
20 80 1 0 839716908
20 80 2 0 767883649
20 80 3 0 767406932
20 80 4 0 680930427
20 80 5 0 674764699
20 80 6 0 599820883
20 80 7 0 562050309
20 80 8 0 619716628
20 80 9 0 565061583
20 80 10 0 585609636
20 80 11 0 639872887
20 80 12 0 677782537
20 80 13 0 619649757
20 80 14 0 683252473
20 80 15 0 752732916
20 80 16 0 556878219
20 80 17 0 672230961
20 80 18 0 735085371
20 80 19 1 631122549
20 80 20 0 693631933
20 80 21 1 667404716
20 80 22 0 616698790
20 80 23 0 635359667
20 80 24 0 627252200
20 80 25 0 549397212
20 80 26 0 750067898
20 80 27 0 602550723
20 80 28 0 587077939
20 80 29 0 631088909
20 80 30 0 701071916
20 80 31 0 657494998
20 80 32 0 623323184
20 80 33 0 598719347
20 80 34 0 555499351
20 80 35 0 646548973
20 80 36 0 706923388
20 80 37 1 675446133
20 80 38 0 626660201
20 80 39 0 824790175
20 80 40 1 657081870
20 80 41 0 657250485
20 80 42 0 556298118
20 80 43 0 719616280
20 80 44 1 606403841
20 80 45 0 600922418
20 80 46 0 552962331
20 80 47 0 697223720
20 80 48 1 646909177
20 80 49 1 629475374
20 80 50 0 723793090
30 120 1 0 1149862196
30 120 2 0 893813184
30 120 3 0 1314599841
30 120 4 0 1081093545
30 120 5 0 1300179774
30 120 6 1 2392757597
30 120 7 0 2326600222
30 120 8 0 2332971899
30 120 9 0 2780817360
30 120 10 0 1376651791
30 120 11 0 1257448803
30 120 12 0 1114563821
30 120 13 1 1000986665
30 120 14 0 1152597368
30 120 15 1 980067331
30 120 16 1 1160805348
30 120 17 0 1349665191
30 120 18 0 1979432667
30 120 19 0 1617326481
30 120 20 0 1346408174
30 120 21 0 1350778624
30 120 22 0 1307758422
30 120 23 0 1260474846
30 120 24 0 3073699101
30 120 25 1 1629539373
30 120 26 1 1300555568
30 120 27 0 1252793224
30 120 28 1 1618618785
30 120 29 0 1934387443
30 120 30 0 1406149154
30 120 31 1 1573138282
30 120 32 0 1462485426
30 120 33 0 1660526374
30 120 34 0 1973181194
30 120 35 0 1704061857
30 120 36 1 1652033678
30 120 37 1 2857769376
30 120 38 0 2391889497
30 120 39 0 1357574504
30 120 40 0 2006381523
30 120 41 0 2688426614
30 120 42 0 2203721755
30 120 43 0 3074641047
30 120 44 0 1371061241
30 120 45 0 2472096889
30 120 46 0 6881804599
30 120 47 0 1503792401
30 120 48 0 1931530836
30 120 49 0 1793254663
30 120 50 0 1480220356
40 160 1 0 1872488519
40 160 2 0 1865391101
40 160 3 0 1658251508
40 160 4 1 1773259635
40 160 5 0 2629983270
40 160 6 0 2974151039
40 160 7 0 3829960624
40 160 8 0 3336385223
40 160 9 1 3118831707
40 160 10 0 2471835557
40 160 11 1 1892987751
40 160 12 0 1888205814
40 160 13 0 1719208486
40 160 14 1 1974867754
40 160 15 1 1736060137
40 160 16 0 1828672832
40 160 17 0 2027517060
40 160 18 0 1708377334
40 160 19 0 1850989085
40 160 20 0 1689738610
40 160 21 0 1886019973
40 160 22 1 1884201721
40 160 23 0 1714113935
40 160 24 1 1732661171
40 160 25 0 1847978631
40 160 26 1 1895343848
40 160 27 0 1934401803
40 160 28 1 1929823763
40 160 29 0 1968098951
40 160 30 0 1897204766
40 160 31 1 1827794886
40 160 32 0 1568485575
40 160 33 1 1433847958
40 160 34 0 1644246620
40 160 35 0 1876597227
40 160 36 0 1641561497
40 160 37 0 1593830743
40 160 38 1 1640329091
40 160 39 1 1649393273
40 160 40 0 2649931528
40 160 41 0 2285551708
40 160 42 0 2626398048
40 160 43 0 1669825633
40 160 44 0 5798613009
40 160 45 0 1881789830
40 160 46 1 1778761981
40 160 47 1 1820562083
40 160 48 0 1558922111
40 160 49 1 1662061140
40 160 50 1 1613944335
50 200 1 1 2382819571
50 200 2 0 1802400486
50 200 3 0 1955721956
50 200 4 0 2077763501
50 200 5 0 1728710412
50 200 6 0 1967819566
50 200 7 0 1787305139
50 200 8 1 1972618734
50 200 9 0 2044625532
50 200 10 0 2273974710
50 200 11 0 2106992967
50 200 12 1 2598133502
50 200 13 1 1976580571
50 200 14 0 1915779079
50 200 15 0 2183756676
50 200 16 0 1819155317
50 200 17 0 2110532241
50 200 18 1 2074044126
50 200 19 0 1867844428
50 200 20 1 2323906074
50 200 21 0 2187154411
50 200 22 0 2220037613
50 200 23 0 2108218810
50 200 24 1 2071122697
50 200 25 1 2111478290
50 200 26 0 2120505960
50 200 27 1 1948246692
50 200 28 0 2224984062
50 200 29 1 2588231578
50 200 30 0 2148960864
50 200 31 0 2196797875
50 200 32 0 2083537436
50 200 33 0 2114653257
50 200 34 0 2009213516
50 200 35 0 2312752051
50 200 36 0 1992889864
50 200 37 1 3203224525
50 200 38 0 2385274950
50 200 39 1 7703032936
50 200 40 0 7304917404
50 200 41 1 2321501568
50 200 42 1 2043137535
50 200 43 1 1861990494
50 200 44 0 1852738825
50 200 45 0 1959671074
50 200 46 0 1823966382
50 200 47 0 2056559861
50 200 48 0 2201592940
50 200 49 0 2299840904
50 200 50 0 2404986490
60 240 1 0 2516339653
60 240 2 0 2636364792
60 240 3 1 2598048169
60 240 4 0 2976740160
60 240 5 1 2636649921
60 240 6 0 2426906847
60 240 7 0 2719911664
60 240 8 0 2707323387
60 240 9 1 2344517306
60 240 10 0 2485129883
60 240 11 0 2660260119
60 240 12 0 2662765138
60 240 13 0 3114926897
60 240 14 0 2985105268
60 240 15 0 2240080640
60 240 16 0 2541980615
60 240 17 0 2782492844
60 240 18 0 2811173388
60 240 19 1 2622786160
60 240 20 0 2372208725
60 240 21 0 2409424223
60 240 22 0 2593468899
60 240 23 0 2823786691
60 240 24 0 2686814309
60 240 25 1 2446592132
60 240 26 1 2221505507
60 240 27 1 2807714525
60 240 28 1 2849996678
60 240 29 0 2528624340
60 240 30 1 2697999923
60 240 31 0 2408838788
60 240 32 0 2522776560
60 240 33 1 2674951774
60 240 34 0 2464441114
60 240 35 0 2548470035
60 240 36 1 3236738700
60 240 37 0 2981266508
60 240 38 1 2706052827
60 240 39 0 2433455754
60 240 40 0 2811882309
60 240 41 1 2650135016
60 240 42 0 2448046487
60 240 43 0 2431240375
60 240 44 0 2417143589
60 240 45 1 3073147307
60 240 46 0 2841959363
60 240 47 1 3060940978
60 240 48 1 3083221539
60 240 49 0 2500395487
60 240 50 1 2647864661
70 280 1 0 3064166407
70 280 2 0 3213717628
70 280 3 0 2998583799
70 280 4 0 3135605820
70 280 5 0 2833440820
70 280 6 0 2954197036
70 280 7 0 3110121575
70 280 8 0 3585377021
70 280 9 0 2980160870
70 280 10 0 3174014752
70 280 11 0 3227938311
70 280 12 0 3196141466
70 280 13 0 2872557442
70 280 14 0 3323082692
70 280 15 0 3252287790
70 280 16 0 3640141194
70 280 17 0 2698829870
