num_vertices num_edges iteration correct time
50 50 1 1 605115639
50 50 2 1 632718853
50 50 3 1 495011705
50 50 4 1 478149798
50 50 5 1 688093486
50 50 6 1 776583935
50 50 7 1 448149461
50 50 8 1 474443960
50 50 9 1 465816700
50 50 10 1 471945915
50 50 11 1 484407013
50 50 12 1 447807308
50 50 13 1 476654007
50 50 14 1 457314567
50 50 15 1 428605715
50 50 16 1 456122365
50 50 17 1 461541018
50 50 18 1 476659750
50 50 19 1 450586789
50 50 20 1 527466599
50 50 21 1 479840870
50 50 22 1 444636855
50 50 23 1 482764350
50 50 24 1 464290550
50 50 25 1 462745118
50 50 26 1 444434188
50 50 27 1 475424881
50 50 28 1 479178718
50 50 29 1 450311508
50 50 30 1 472363965
50 50 31 1 480571946
50 50 32 1 487963927
50 50 33 1 459698561
50 50 34 1 466805416
50 50 35 1 501543791
50 50 36 1 559835750
50 50 37 1 529089569
50 50 38 1 519738208
50 50 39 1 516484062
50 50 40 1 449807303
50 50 41 1 605600971
50 50 42 1 466901415
50 50 43 1 486941571
50 50 44 1 525400143
50 50 45 1 485454806
50 50 46 1 634305311
50 50 47 1 555980580
50 50 48 1 651407627
50 50 49 1 522497176
50 50 50 1 735137472
50 100 1 1 1280072747
50 100 2 1 1173092497
50 100 3 0 1030158285
50 100 4 0 1126609330
50 100 5 0 973132784
50 100 6 1 985478190
50 100 7 0 958961742
50 100 8 0 1135054847
50 100 9 1 987276340
50 100 10 1 939906610
50 100 11 0 1070673057
50 100 12 1 992418071
50 100 13 1 1157276741
50 100 14 1 1148731942
50 100 15 1 1022840149
50 100 16 0 943275217
50 100 17 1 1016350319
50 100 18 0 984704037
50 100 19 1 1045987169
50 100 20 0 1017130214
50 100 21 1 1085749123
50 100 22 0 966623262
50 100 23 0 1044819582
50 100 24 0 942937577
50 100 25 0 1001084716
50 100 26 0 959215280
50 100 27 1 963608706
50 100 28 0 1065544044
50 100 29 0 1056387143
50 100 30 0 1032632125
50 100 31 0 1056087247
50 100 32 0 1047661422
50 100 33 0 949504125
50 100 34 1 937664154
50 100 35 1 1292341435
50 100 36 0 1137070432
50 100 37 0 1055105916
50 100 38 0 1140136681
50 100 39 1 922848601
50 100 40 0 1064491329
50 100 41 0 1010783563
50 100 42 0 919508711
50 100 43 0 1027438291
50 100 44 0 995883087
