num_vertices num_edges iteration correct
50 50 1 1
50 50 2 1
50 50 3 1
50 50 4 1
50 50 5 1
50 50 6 1
50 50 7 1
50 50 8 1
50 50 9 1
50 50 10 1
50 50 11 1
50 50 12 1
50 50 13 1
50 50 14 1
50 50 15 1
50 50 16 1
50 50 17 1
50 50 18 1
50 50 19 1
50 50 20 1
50 50 21 1
50 50 22 1
50 50 23 1
50 50 24 1
50 50 25 1
50 50 26 1
50 50 27 1
50 50 28 1
50 50 29 1
50 50 30 1
50 50 31 1
50 50 32 1
50 50 33 1
50 50 34 1
50 50 35 1
50 50 36 1
50 50 37 1
50 50 38 1
50 50 39 1
50 50 40 1
50 50 41 1
50 50 42 1
50 50 43 1
50 50 44 1
50 50 45 1
50 50 46 1
50 50 47 1
50 50 48 1
50 50 49 1
50 50 50 1
50 50 51 1
50 50 52 1
50 50 53 1
50 50 54 1
50 50 55 1
50 50 56 1
50 50 57 1
50 50 58 1
50 50 59 1
50 50 60 1
50 50 61 1
50 50 62 1
50 50 63 1
50 50 64 1
50 50 65 1
50 50 66 1
50 50 67 1
50 50 68 1
50 50 69 1
50 50 70 1
50 50 71 1
50 50 72 1
50 50 73 1
50 50 74 1
50 50 75 1
50 50 76 1
50 50 77 1
50 50 78 1
50 50 79 1
50 50 80 1
50 50 81 0
50 50 82 1
50 50 83 1
50 50 84 1
50 50 85 1
50 50 86 1
50 50 87 1
50 50 88 1
50 50 89 1
50 50 90 1
50 50 91 1
50 50 92 1
50 50 93 1
50 50 94 1
50 50 95 1
50 50 96 1
50 50 97 1
50 50 98 1
50 50 99 1
50 50 100 1
50 100 1 1
50 100 2 1
50 100 3 1
50 100 4 0
50 100 5 1
50 100 6 1
50 100 7 1
50 100 8 0
50 100 9 1
50 100 10 1
50 100 11 1
50 100 12 1
50 100 13 1
50 100 14 1
50 100 15 1
50 100 16 0
50 100 17 1
50 100 18 1
50 100 19 1
50 100 20 0
50 100 21 0
50 100 22 0
50 100 23 1
50 100 24 0
50 100 25 0
50 100 26 1
50 100 27 1
50 100 28 1
50 100 29 1
50 100 30 0
50 100 31 0
50 100 32 0
50 100 33 1
50 100 34 1
50 100 35 0
50 100 36 1
50 100 37 1
50 100 38 1
50 100 39 0
50 100 40 0
50 100 41 1
50 100 42 0
50 100 43 0
50 100 44 1
50 100 45 0
50 100 46 0
50 100 47 0
50 100 48 0
50 100 49 1
50 100 50 1
50 100 51 1
50 100 52 1
50 100 53 0
50 100 54 1
50 100 55 1
50 100 56 1
50 100 57 1
50 100 58 0
50 100 59 1
50 100 60 1
50 100 61 0
50 100 62 0
50 100 63 0
50 100 64 1
50 100 65 0
50 100 66 0
50 100 67 0
50 100 68 1
50 100 69 0
50 100 70 1
50 100 71 1
50 100 72 1
50 100 73 0
50 100 74 1
50 100 75 1
50 100 76 1
50 100 77 0
50 100 78 1
50 100 79 1
50 100 80 1
50 100 81 1
50 100 82 0
50 100 83 0
50 100 84 0
50 100 85 0
50 100 86 1
50 100 87 1
50 100 88 1
50 100 89 0
50 100 90 1
50 100 91 0
50 100 92 1
50 100 93 1
50 100 94 1
50 100 95 1
50 100 96 0
50 100 97 1
50 100 98 1
50 100 99 0
50 100 100 1
50 150 1 0
50 150 2 0
50 150 3 1
50 150 4 1
50 150 5 1
50 150 6 1
50 150 7 0
50 150 8 0
50 150 9 0
50 150 10 1
50 150 11 0
50 150 12 0
50 150 13 0
50 150 14 1
50 150 15 0
50 150 16 1
50 150 17 0
50 150 18 0
50 150 19 1
50 150 20 0
50 150 21 0
50 150 22 1
50 150 23 0
50 150 24 0
50 150 25 1
50 150 26 0
50 150 27 0
50 150 28 0
50 150 29 1
50 150 30 0
50 150 31 1
50 150 32 1
50 150 33 0
50 150 34 0
50 150 35 0
50 150 36 0
50 150 37 0
50 150 38 0
50 150 39 0
50 150 40 1
50 150 41 1
50 150 42 1
50 150 43 1
50 150 44 0
50 150 45 0
50 150 46 1
50 150 47 1
50 150 48 0
50 150 49 0
50 150 50 0
50 150 51 0
50 150 52 1
50 150 53 0
50 150 54 0
50 150 55 0
50 150 56 0
50 150 57 1
50 150 58 0
50 150 59 1
50 150 60 1
50 150 61 0
50 150 62 0
50 150 63 1
50 150 64 0
50 150 65 0
50 150 66 0
50 150 67 1
50 150 68 1
50 150 69 1
50 150 70 1
50 150 71 0
50 150 72 0
50 150 73 0
50 150 74 0
50 150 75 1
50 150 76 0
50 150 77 0
50 150 78 0
50 150 79 0
50 150 80 1
50 150 81 0
50 150 82 1
50 150 83 0
50 150 84 1
50 150 85 1
50 150 86 0
50 150 87 0
50 150 88 1
50 150 89 0
50 150 90 0
50 150 91 0
50 150 92 0
50 150 93 0
50 150 94 0
